Paragraph:,Quote:,Scare_Quote:
"In november werd ook de langste reeks 'aaneengesloten dagen met 10 graden of meer gemeten in De Bilt' voltooid. Niet eerder was de reeks zo lang als dit jaar: sinds 1 april tot en met 15 november, 229 dagen in totaal dus.",'aaneengesloten dagen met 10 graden of meer gemeten in De Bilt',0.0
'Stralingsbalans' uitgelegd door Weerplaza: ,'Stralingsbalans',0.0
"De aidsbestrijding rammelt. 'Vergeten' virussen als mazelen en polio zijn op de weg terug. Wetenschappers, hulporganisaties en gezondheidsinstanties waarschuwen steeds nadrukkelijker dat de wereldwijde strijd tegen het coronavirus niet mag leiden tot een heropleving van andere infectieziekten.",'Vergeten',1.0
"Dezelfde zorgen leven rond polio, dat voor het begin van de coronapandemie wereldwijd nagenoeg was uitgeroeid. Door een daling van de vaccinatiegraad, met 'immuniteitsgaten' in de bevolking tot gevolg, zou het aantal nieuwe gevallen binnen tien jaar weer kunnen toenemen van enkele tientallen naar 200.000 per jaar, stelt de WHO.",'immuniteitsgaten',0.0
"Wat hebben klassieke muziek en seks met elkaar gemeen? Veel, vinden mezzosopraan Olivia Vermeulen en pianist Jan Philip Schulze. Ze maakte er een album over. En nog meer muziek. Todd Rundgren maakte een Engelse cover van 'Flappie' van Youp van 't Hek. Wat vindt de cabaretier daarvan?",'Flappie',0.0
"Wat hebben klassieke muziek en seks met elkaar gemeen? Veel, vinden mezzosopraan Olivia Vermeulen en pianist Jan Philip Schulze. Ze maakte er een album over. En nog meer muziek. Todd Rundgren maakte een Engelse cover van 'Flappie' van Youp van 't Hek. Wat vindt de cabaretier daarvan?",',2.0
Het gebouw van het Cornelius Haga Lyceum in Amsterdam is beklad met leuzen als 'weg coupplegers' en 'school verkocht'.,'weg coupplegers',0.0
Het gebouw van het Cornelius Haga Lyceum in Amsterdam is beklad met leuzen als 'weg coupplegers' en 'school verkocht'.,'school verkocht',0.0
"Enkele teksten op de school zijn gericht aan die bestuurders. Zo staat er 'Saskia jij bent rot, onrein' en 'Baâdoud eruit.'","'Saskia jij bent rot, onrein'",0.0
"Enkele teksten op de school zijn gericht aan die bestuurders. Zo staat er 'Saskia jij bent rot, onrein' en 'Baâdoud eruit.'",'Baâdoud eruit.',0.0
Volgens het rapport wordt er te veel zorg gegeven waarvan de effectiviteit niet vaststaat. Van naar schatting 50 procent van de behandelingen is de effectiviteit niet onderzocht. Ook het bekostigingssysteem van de zorg moet op de schop. Verkeerde 'systeemprikkels' zouden tot onnodig hoge kosten leiden.,'systeemprikkels',0.0
Voor mensen die jarenlang chronisch ziek zijn moet er 'netwerkbekostiging' komen: een vast bedrag per patiënt in een jaar.,'netwerkbekostiging',0.0
"De uitzending van de NPO Radio 2 Top 2000 begint dit jaar acht uur eerder. De 'lijst der lijsten', zoals de zender het programma zelf noemt, start op Kerstavond om middernacht.",'lijst der lijsten',0.0
"""We spreken vaak over 'de regio', maar 'de regio' bestaat niet"", reageert minister Schouten van Landbouw. ""Het is goed dat nu inzichtelijk is gemaakt waar aan wat behoefte is, zodat we daar ook beter op kunnen aansluiten. En niet alleen dat wij dat kunnen, maar ook toekomstige kabinetten en regionale bestuurders. Zo kunnen we zorgen dat de brede welvaart ook verbreed wordt.""",'de regio',0.0
"""We spreken vaak over 'de regio', maar 'de regio' bestaat niet"", reageert minister Schouten van Landbouw. ""Het is goed dat nu inzichtelijk is gemaakt waar aan wat behoefte is, zodat we daar ook beter op kunnen aansluiten. En niet alleen dat wij dat kunnen, maar ook toekomstige kabinetten en regionale bestuurders. Zo kunnen we zorgen dat de brede welvaart ook verbreed wordt.""",'de regio',0.0
"In het onderzoek is gekeken naar de brede welvaart 'hier en nu', wat gaat over de kwaliteit van leven en de omgeving waarin mensen leven. Daaronder vallen onder meer materiële welvaart, gezondheid en milieu. Daarnaast is brede welvaart 'later' onder loep genomen, wat de sociale en economische omstandigheden en natuurlijke hulpbronnen betreft die volgende generaties nodig hebben.",'hier en nu',0.0
"In het onderzoek is gekeken naar de brede welvaart 'hier en nu', wat gaat over de kwaliteit van leven en de omgeving waarin mensen leven. Daaronder vallen onder meer materiële welvaart, gezondheid en milieu. Daarnaast is brede welvaart 'later' onder loep genomen, wat de sociale en economische omstandigheden en natuurlijke hulpbronnen betreft die volgende generaties nodig hebben.",'later',1.0
"Dit is in kaart gebracht aan de hand van veertig indicatoren. De indicatoren 'hier en nu' zijn verdeeld over welzijn, materiële welvaart, gezondheid, arbeid en vrije tijd, wonen, samenleving, veiligheid en milieu. De indicatoren van 'later' zijn economisch kapitaal, natuurlijk kapitaal, menselijk kapitaal en sociaal kapitaal.",'hier en nu',0.0
"Dit is in kaart gebracht aan de hand van veertig indicatoren. De indicatoren 'hier en nu' zijn verdeeld over welzijn, materiële welvaart, gezondheid, arbeid en vrije tijd, wonen, samenleving, veiligheid en milieu. De indicatoren van 'later' zijn economisch kapitaal, natuurlijk kapitaal, menselijk kapitaal en sociaal kapitaal.",'later',0.0
"Amsterdam, Rotterdam en Den Haag staan met zeventien indicatoren onderaan de ranglijst van het 'hier en nu'. Dat betekent dat deze steden minder goed scoren op materiële welvaart, gezondheid en milieu. ""Maar"", zegt CBS-hoofdeconoom Peter Hein van Mulligen ""In deze steden is er sprake van een grote spreiding. In Amsterdam-Zuid zijn bijvoorbeeld de materiële welvaart en het woonplezier ontzettend hoog, terwijl dat in andere wijken veel minder aanwezig is.""",'hier en nu',0.0
"Politieke partij Denk wil dat er definitief wordt afgerekend met racisme en discriminatie. ""Onze strijd is pas gestreden als iedere Nederland ongeacht huidskleur, afkomst, geaardheid, geslacht of welk kenmerk dan ook gewoon het volle potentieel uit zijn of haar leven kan halen"", staat in het verkiezingsprogramma 'Denk anders'.",'Denk anders',0.0
"Prins Bernhard is niet te spreken over een plan in het verkiezingsprogramma van de PvdA. Het programma rept van een 'Prins Bernhard'-belasting, bedoeld om pandjesbazen aan te pakken, en zo de woningmarkt toegankelijker te maken voor onder meer starters. Dat het plan zijn naam draagt, is tegen het zere been van de prins, meldt De Telegraaf.",',2.0
"ABN Amro schrapt tot en met 2024 ongeveer 15 procent van alle banen, zegt de bank in een 'strategie update'. De meeste banen vervallen na 2022.",'strategie update',1.0
"Van Kesteren bracht vandaag een bezoek aan de supermarkt, en ook dat ging zonder problemen. ""Via de site van de overheid heb ik een kaartje met een vrijstelling uitgeprint en dat heb ik laten zien. 'O ja, loop maar door', zei de jongen bij de ingang. Daar was ik heel blij mee.""","'O ja, loop maar door'",0.0
"De Canadese acteur die bekend is geworden als Ellen Page heeft op sociale media bekendgemaakt dat hij voortaan door het leven gaat als Elliot. De transgender acteur, bekend van onder meer de films Juno, X-Men en Inception en van de Netflix-serie The Umbrella Academy, wil voortaan aangesproken worden met 'hij' of 'hen'.",'hij',0.0
"De Canadese acteur die bekend is geworden als Ellen Page heeft op sociale media bekendgemaakt dat hij voortaan door het leven gaat als Elliot. De transgender acteur, bekend van onder meer de films Juno, X-Men en Inception en van de Netflix-serie The Umbrella Academy, wil voortaan aangesproken worden met 'hij' of 'hen'.",'hen',0.0
"Veel non-binaire mensen worden graag aangesproken met genderneutrale verwijswoorden, zoals 'hen', 'hun en 'die'.",'hen',0.0
"Veel non-binaire mensen worden graag aangesproken met genderneutrale verwijswoorden, zoals 'hen', 'hun en 'die'.",'hun en ',2.0
"Veel non-binaire mensen worden graag aangesproken met genderneutrale verwijswoorden, zoals 'hen', 'hun en 'die'.",',2.0
De komende maanden gaat het om 'maar' een paar miljoen doses. Het overzicht van wat Nederland krijgt:,'maar',1.0
De Nederlandse 'vaccinatiestrategie' ziet er als volgt uit:,'vaccinatiestrategie',0.0
"Het kan natuurlijk zijn dat de komende maanden ook een of meerdere van de andere gereserveerde vaccins op de Europese markt komen. De Leidse farmaceut Janssen en de Brits-Zweedse medicijnproducent AstraZeneca zijn bijvoorbeeld al best ver, hoewel het 'Oxford-vaccin' van AstraZeneca mogelijk maanden vertraging oploopt. Er was onrust ontstaan over een tussentijdse effectiviteitsclaim van die farmaceut.",'Oxford-vaccin',0.0
"Bijna al zijn whisky's komen uit Schotland en daar maken ze zich zorgen dat zendingen bijvoorbeeld een maand ergens blijven staan, als er straks weer grenscontroles zijn. ""Dat is logisch, ik maak me daar ook zorgen over', zegt de importeur.",',2.0
Weekblad Elsevier sprak in 2017 van 'het klasje van Cliteur'. Naast Cliteur werken bijvoorbeeld ook de conservatieve hoogleraren Andreas Kinneging en Afshin Ellian aan de Universiteit Leiden. Meerdere jonge liberale en conservatieve denkers zoals Eva Vlaardingerbroek en Bastiaan Rijpkema hebben aan de universiteit gestudeerd of zijn bij Cliteur gepromoveerd.,'het klasje van Cliteur',0.0
"Columnisten en opiniemakers kwamen in de afgelopen jaren met minder vleiende omschrijvingen, zoals 'boreale broedplaats' en 'Leids radicaliseringsbolwerk'. Voor de opkomst van Forum voor Democratie en Baudets radicalisme werd de basis gelegd aan Cliteurs afdeling in Leiden, stellen zijn critici.",'boreale broedplaats',0.0
"Columnisten en opiniemakers kwamen in de afgelopen jaren met minder vleiende omschrijvingen, zoals 'boreale broedplaats' en 'Leids radicaliseringsbolwerk'. Voor de opkomst van Forum voor Democratie en Baudets radicalisme werd de basis gelegd aan Cliteurs afdeling in Leiden, stellen zijn critici.",'Leids radicaliseringsbolwerk',0.0
"Voor antisemitisme in Cliteurs werk en dat van zijn collega's van de afdeling is geen bewijs. Maar de stap van het creëren van vijanden die 'onze cultuur' van binnen en van buiten willen vernietigen naar antisemitische theorieën is volgens Oudenampsen ""niet groot"".",'onze cultuur',1.0
"Het meest recente reproductiegetal blijft rond de 1, net als vorige week. Het 'R-getal' kijkt telkens meer dan twee weken terug: op 13 november besmetten 100 mensen ongeveer 104 anderen, denkt het RIVM nu.",'R-getal',0.0
"Dit is de eerste motie, van PVV-kamerlid Dion Graus. Hij wil dat de regering de tijd neemt om in overleg met de familie en deskundigen een 'Buba-waardig verblijf' in Nederland te vinden waar ze haar laatste jaren mag en kan genieten. Enig probleem, zo'n opvang lijkt er niet te zijn.",'Buba-waardig verblijf',0.0
"Er waren in 2017 ambitieuze plannen om hier de 'grootste opvang van Europa' te bouwen. Die moest in het Noord-Hollandse dorp Anna Paulowna komen, op Landgoed Hoenderdaell. Maar directeur Robert Kruijff zag van de opvang af toen bleek dat er eigenlijk helemaal geen vraag naar was. ""Er waren op dat moment nog zo'n 130 circusolifanten in Europa, maar die dieren zijn best in trek bij dierenparken bijvoorbeeld. Nu zijn er nog maar tachtig, een deel is overleden, maar er is in ieder geval geen enkel dier in een opvang beland."" Het landgoed vangt wel leeuwen en tijgers op ""want die wil niemand hebben"".",'grootste opvang van Europa',1.0
"Het Duits-Nederlandse circus is een 'klassiek circus met dieren, 'al generaties lang een circusfamilie in hart en nieren'. Sinds 2015 is er echter een verbod op het rondreizen en optreden met wilde dieren en omdat er toen niet direct een oplossing voorhanden was voor Buba kreeg het circus een ontheffing tot 30 juni 2020, die datum is inmiddels verstreken maar een oplossing bleef uit.","'klassiek circus met dieren, '",0.0
"Het Duits-Nederlandse circus is een 'klassiek circus met dieren, 'al generaties lang een circusfamilie in hart en nieren'. Sinds 2015 is er echter een verbod op het rondreizen en optreden met wilde dieren en omdat er toen niet direct een oplossing voorhanden was voor Buba kreeg het circus een ontheffing tot 30 juni 2020, die datum is inmiddels verstreken maar een oplossing bleef uit.",',2.0
"Het hoofd van de huishoudelijke dienst van het paleis, vice admiral master Tony Johnstone-Burt, schrijft in een verklaring dat hij een belangrijke medaille miste. Die moest hij dragen ter gelegenheid van 'Trooping the Colour', een ceremonie voor de verjaardag van de Britse vorstin.",'Trooping the Colour',0.0
"Het grote publiek kent Paulusma vooral van zijn dagelijkse weerupdate bij SBS6. Hij deed dat vanaf een steeds wisselende buitenlocatie in Nederland en sloot het bericht steevast af met de Friese uitspraak 'oant moarn', wat 'tot morgen' betekent.",'oant moarn',0.0
"Het grote publiek kent Paulusma vooral van zijn dagelijkse weerupdate bij SBS6. Hij deed dat vanaf een steeds wisselende buitenlocatie in Nederland en sloot het bericht steevast af met de Friese uitspraak 'oant moarn', wat 'tot morgen' betekent.",'tot morgen',0.0
De 'meest irritante' reclame met in de hoofdrol Martien Meiland: ,'meest irritante',1.0
"Het gaat allemaal om zogenaamde 'pushbacks', het illegaal terugzetten van migranten voordat ze de EU bereiken. Eerst was er een publicatie van onderzoekscollectief Bellingcat en het Duitse weekblad Der Spiegel. Zij toonden beelden waarop te zien was dat een Frontex-schip in Griekse wateren door hoge golven te maken een boot met migranten terugdreef richting Turkije.",'pushbacks',0.0
Boris Johnson heeft al meerdere keren herhaald dat in zijn ogen de Britten ook zonder deal een 'florissante toekomst' tegemoet gaan. In tegenstelling tot zijn voorganger Theresa May wil hij aan de EU duidelijk maken dat hij niet terugdeinst voor het gevreesde no-dealscenario.,'florissante toekomst',0.0
"Volgens de recherche heeft een van de hoofdverdachten, Nicky S., het lichaam van Van der Heyden met een kettingzaag in stukken gezaagd en gedumpt. S. beantwoordde iedere vraag van de rechter met het woord 'zwijgrecht'.",'zwijgrecht',0.0
"Voor een oplossing kijkt hij naar andere vaccins die in de pijplijn zitten, zoals dat van Moderna of het 'Oxford-vaccin' van AstraZeneca. ""Die hebben al die beperkingen niet."" Alleen is het nog onbekend wanneer die vaccins op de markt komen.",'Oxford-vaccin',0.0
"De Tweede Kamer had voor- en tegenstanders gevraagd om te komen praten over de toekomst van kernenergie in Nederland. Volgens verschillende partijen, waaronder regeringspartijen VVD en CDA, kan kernenergie een belangrijke rol spelen in de toekomstige 'energiemix'. Er komt geen CO2 bij vrij en is in tegenstelling tot wind- en zonne-energie regelbaar en altijd beschikbaar. Dat is noodzakelijk op dagen dat het bewolkt is en er geen wind staat.",'energiemix',0.0
"Tot nu toe was er bij marktpartijen weinig animo voor de bouw van een nieuwe kerncentrale, maar volgens EPZ is het wel degelijk mogelijk om rond 2035 twee nieuwe centrales klaar te hebben. Binnen acht jaar kan een centrale gebouwd worden die drie keer zo veel vermogen heeft als de huidige centrale. Het gaat dan om een bestaand ontwerp dat bewezen veilig is. Kosten: 8 tot 10 miljard euro. Voorwaarde is wel dat de overheid bijspringt en het zogeheten 'marktrisico' afdekt.",'marktrisico',0.0
EPZ ziet ook mogelijkheden om in de toekomst een 'groene' waterstoffabriek te realiseren aan de Westerschelde. Daar kan de 'overtollige' elektriciteit van de kerncentrales en de windparken voor de kust (waarvan de kabels in Borssele aan land komen) CO2-vrij worden omgezet in waterstof.,'groene',0.0
EPZ ziet ook mogelijkheden om in de toekomst een 'groene' waterstoffabriek te realiseren aan de Westerschelde. Daar kan de 'overtollige' elektriciteit van de kerncentrales en de windparken voor de kust (waarvan de kabels in Borssele aan land komen) CO2-vrij worden omgezet in waterstof.,'overtollige',1.0
"De afdeling zegt dat ze spreekt namens alle vijftig afdelingen. Over hoeveel horecabedrijven dit gaat, is onduidelijk. De initiatiefnemers spreken van 'duizenden'. De landelijke afdeling van Koninklijke Horeca Nederland laat weten begrip te hebben voor de situatie, maar vindt het onverantwoord om op te roepen tot dingen die tegen de wet ingaan, zegt een woordvoerder.",'duizenden',1.0
"Kamerlid Vera Bergkamp steeg ten opzichte van de 'advieslijst' van het bestuur van 5 naar 3, haar collega Sjoerd Sjoerdsma van 7 naar 5 en Salima Belhaj van 9 naar 6. Verder klom Kamerlid Tjeerd de Groot van 12 naar 8 en Paul van Meenen van 14 naar 11.",'advieslijst',0.0
"Een groot deel van zijn voetballoopbaan speelde zich op een bescheiden niveau af: toen hij in 1984 een punt zette achter zijn profbestaan, had de grillige buitenspeler er 'slechts' 126 wedstrijden (23 doelpunten) in de eredivisie op zitten.",'slechts',1.0
"Ook buiten de voetballerij liet hij zich niet onbetuigd. Zo scoorde hij in 1976 als lid van gelegenheidsformatie Full House een hit met 'Standing on the inside' en was hij presentator van de televisieprogramma's AVRO's Sportpanorama, de Frank Kramer Show, Hints en Boggle.",'Standing on the inside',0.0
"De nieuwe wet verbiedt het om meisjes bij een huwelijk te dwingen tot bekering. In de praktijk wordt de wet door de familie van bruiden gebruikt om huwelijken met 'ongewenste' partners tegen te houden. ""Dat is al duidelijk bij deze eerste aangifte"", zegt correspondent Saskia Konniger. ""Toen het stel een relatie had, had haar vader al aangifte gedaan van ontvoering. Volgens de familie van de man was hun relatie vrijwillig. Met behulp van de nieuwe wet is nu opnieuw aangifte gedaan."" Hij kan nu een celstraf van drie tot tien jaar krijgen.",'ongewenste',1.0
"""Ik denk dat Peking met het pakken van deze grote activisten ook echt een boodschap wil sturen naar de mensen in Hongkong"", zegt Den Daas. ""'Kijk uit wat je doet', 'Haal het niet in je hoofd om je te misdragen' en 'Ga vooral niet de straat op'. Op dit moment denk ik dat er nog geen grootschalige protesten zullen komen.""","', '",2.0
"""Ik denk dat Peking met het pakken van deze grote activisten ook echt een boodschap wil sturen naar de mensen in Hongkong"", zegt Den Daas. ""'Kijk uit wat je doet', 'Haal het niet in je hoofd om je te misdragen' en 'Ga vooral niet de straat op'. Op dit moment denk ik dat er nog geen grootschalige protesten zullen komen.""",' en ',2.0
"""Ik denk dat Peking met het pakken van deze grote activisten ook echt een boodschap wil sturen naar de mensen in Hongkong"", zegt Den Daas. ""'Kijk uit wat je doet', 'Haal het niet in je hoofd om je te misdragen' en 'Ga vooral niet de straat op'. Op dit moment denk ik dat er nog geen grootschalige protesten zullen komen.""",',2.0
"Jongeren hebben bij een coronabesmetting zelf maar een kleine kans om (flink) ziek te worden, maar toch vraagt de samenleving volgens Depla grote offers van hen. ""Wij volwassenen zeggen dan 'het is maar een jaartje' en lachen het een beetje weg, maar je zult maar net gepland hebben om af te studeren of stage te lopen. Er is een tekort aan 21.000 stageplaatsen. Veel scholieren maken zich zorgen over de vraag of ze hun school op een goede manier kunnen afsluiten.""",'het is maar een jaartje',0.0
"Het grootste obstakel voor ANA blijven de hoge kosten. Hoewel in Zweden door de minister van Gendergelijkheid plannen worden gemaakt om gratis abortussen voor Poolse vrouwen aan te bieden, worden in Nederland de 'Poolse' abortussen volledig uit giften betaald.",'Poolse',0.0
Het aantal 'Nederlandse' abortussen is slechts een druppel op de gloeiende plaat. De meeste abortussen in Polen worden namelijk illegaal uitgevoerd. De schattingen daarover lopen sterk uiteen: van enkele duizenden tot 200.000 per jaar. Daarbij vervullen Poolse ngo's een sleutelrol: zij begeleiden vrouwen bij het thuis innemen van abortuspillen als zij korter dan 12 weken zwanger zijn.,'Nederlandse',1.0
"De Canadese acteur die bekend is geworden als Ellen Page gaat voortaan door het leven gaat als Elliot. De transgender acteur, bekend van onder meer de films Juno, X-Men en Inception en van de Netflix-serie The Umbrella Academy, maaakte dat via sociale media bekend en wil voortaan aangesproken worden met 'hij' of 'hen'.",'hij',0.0
"De Canadese acteur die bekend is geworden als Ellen Page gaat voortaan door het leven gaat als Elliot. De transgender acteur, bekend van onder meer de films Juno, X-Men en Inception en van de Netflix-serie The Umbrella Academy, maaakte dat via sociale media bekend en wil voortaan aangesproken worden met 'hij' of 'hen'.",'hen',0.0
"Daar moesten de nazi's weinig van hebben. David werd daarom Dora, Jacob werd Jot, Nathan veranderde in Nordpol, Siegfried verving Samuel en Zacharias moest het veld ruimen ten faveure van Zeppelin. Na de oorlog werd die 'ontjoodsing' van het telefoonalfabet maar ten dele teruggedraaid. En al kon Samuel zich officieel de S weer toe-eigenen, tot op de dag van vandaag is Siegfried gebruikelijker.",'ontjoodsing',0.0
"Ze worden in Ethiopië sterk gediscrimineerd en vervolgd. Vaak worden ze Falasha's genoemd, wat zoveel betekent als 'zwervers' . Officieel heet de joods-Ethiopische gemeenschap 'Beta Yisra'el' , ofwel Huis van Israël.",'zwervers',0.0
"Ze worden in Ethiopië sterk gediscrimineerd en vervolgd. Vaak worden ze Falasha's genoemd, wat zoveel betekent als 'zwervers' . Officieel heet de joods-Ethiopische gemeenschap 'Beta Yisra'el' , ofwel Huis van Israël.",'Beta Yisra'el',0.0
"Het waarmaken van de slogan 'Vandaag besteld, morgen in huis' wordt deze week een flinke uitdaging voor sommige webshops. De grootste postbezorger, PostNL, zit namelijk aan zijn taks: door recorddrukte haalt het bedrijf momenteel geen pakketjes meer op bij webwinkels. Waarschijnlijk komen sommige Sinterklaascadeautjes daardoor niet op tijd aan.","'Vandaag besteld, morgen in huis'",0.0
"Voor de consumenten die het advies 'gespreid bestellen' hebben gemist en handenwringend voor de deur wachten, hebben de techneuten weinig goed nieuws. ""Ik vrees dat je dit nu te slikken hebt. Transport is nog echt mensenwerk, en dat gaat weleens mis. Daarnaast is het ook simpelweg niet realistisch om - als je met bestellen wacht tot 23.55 uur op de dag voor Sinterklaas - te verwachten dat je pakket de volgende dag aankomt"", aldus Gehlen.",'gespreid bestellen',0.0
"Conservator Abuys kwam direct langs. ""Ik zag gelijk dat dit ontzettend bijzonder was. 'Hier moeten we iets mee doen', dacht ik. Wat dit dagboek zo bijzonder maakt is dat ze schrijft als verpleegster van het kampziekenhuis. Vanuit het perspectief van patiënten weten we wel het een en ander. Vanuit het personeel-perspectief hebben we heel weinig gehoord. Hoe dingen werden georganiseerd bijvoorbeeld. Dat haal je allemaal uit het dagboek.""",'Hier moeten we iets mee doen',0.0
"Minister Rick Brink stopt begin 2021 als de officieuze minister van Gehandicaptenzaken, zo meldt hij in een e-mail aan relaties. Hij gaat dan werken voor omroep KRO-NCRV als 'adviseur inclusie'. ""In deze rol zal ik de omroep en de NPO helpen om extern, maar zeker ook intern, meer inclusief te worden.""",'adviseur inclusie',0.0
"Het 'Ministerie van Gehandicaptenzaken', een initiatief van KRO-NCRV om de belangen van Nederlanders met een beperking te behartigen, houdt ook op 1 januari op te bestaan. Rick Brink werd in de zomer van 2019 verkozen tot hun voorman, in een live-uitzending op NPO 1. In zijn rol adviseerde hij onder anderen minister Hugo de Jonge van Volksgezondheid.",'Ministerie van Gehandicaptenzaken',0.0
Het gebouw van de cultuurhistorische organisatie The Black Archives in Amsterdam is beklad. Muurschilderingen van Surinaamse helden zijn wit geschilderd. Ook zijn er stickers op de deur geplakt met de tekst 'roetveegpiet is genocide'.,'roetveegpiet is genocide',0.0
"De verdachte Rotterdammer, Roger P. alias Piet Costa, is in oktober aangehouden. Hij zou de opdrachtgever zijn geweest van de bouw van de 'martelcontainer' die afgelopen zomer in Wouwse Plantage in Noord-Brabant werd gevonden. Hij komt morgen voor de rechter, die de voortgang in het onderzoek tegen hem zal bespreken.",'martelcontainer',0.0
"Youp van 't Hek is er trots op, vertelde hij in het NOS-radioprogramma Met het Oog op Morgen. ""Ik moet je eerlijk zeggen dat ik wel van Todd Rundgren gehoord had, maar ik wist niet dat het zo'n beroemde man was""",',2.0
"Rolmodellen helpen daarbij, aldus De Vries. ""Het is echt van belang dat Amsterdam in de persoon van Femke Halsema nu voor het eerst in de geschiedenis een vrouwelijke burgemeester heeft. En dat Sharon Dijksma is benoemd in Utrecht, als derde vrouw in de geschiedenis. Ik zeg het ook wel eens tijdens schoolbezoeken tegen meisjes: 'Als ik burgemeester kan worden, waarom jullie niet?'""",',2.0
"Youp van 't Hek is er trots op, vertelde hij in het NOS-radioprogramma Met het Oog op Morgen. ""Ik moet je eerlijk zeggen dat ik wel van Todd Rundgren gehoord had, maar ik wist niet dat het zo'n beroemde man was""",',2.0
"Dat er grote achterstanden waren en ook minder verwijzingen door huisartsen vanwege corona, was al langer duidelijk. Daarom werd een piek verwacht om de achterstand weer in te lopen, maar uit onderzoek van NVVP en pathologiedatabase PALGA naar de daling en het herstel van de diagnostiek na de eerste coronagolf blijkt dus dat die er niet is gekomen. Met uitzondering van acute zorg blijkt dat 10 tot 15 procent van de diagnoses 'ontbreekt', gebaseerd op gemiddelden van de afgelopen vijf jaar.",'ontbreekt',1.0
"Op sociale media staan foto's van de verdachten en ze worden als 'shabiha', loyalisten van het Syrische regime, herkend door landgenoten.",'shabiha',0.0
"Vorige updates leidden er onder meer toe dat wetenschappers in een hoek van de Melkweg een soort 'kraamkamer' ontdekten, waar nieuwe sterren worden geboren.",'kraamkamer',0.0
"Het gaat om de 79-jarige Aaldert van E., die in zijn 'evangelische therapeutische centra' mensen met psychiatrische problemen behandelde die door de gemeente of kerk naar hem waren doorverwezen. Hij was er directeur, therapeut en religieus voorganger.",'evangelische therapeutische centra',1.0
In een lijvig artikel op de website communisme.nu beschuldigen de radicale Rood-jongeren het SP-bestuur deze week van een 'heksenjacht' op kritische leden.,'heksenjacht',1.0
"Een belangrijke verdachte in de zaak van de 'martelcontainer' in Wouwse Plantage heeft in de rechtszaal een filmpje laten zien, waaruit moet blijken dat hij geen keiharde crimineel, maar een succesvolle artdirector en bedenker van een fitnessconcept is.",'martelcontainer',0.0
